testbench.cg with cycle_time_p          10
VCD info: dumpfile iverilog.vcd opened for output.
VCD warning: $dumpvars: Unsupported argument type (vpiPackage)

  ______          __  __                    __       _____ ____          ___    ___        
 /_  __/__  _____/ /_/ /_  ___  ____  _____/ /_     / __(_) __/___      <  /___<  /      __
  / / / _ \/ ___/ __/ __ \/ _ \/ __ \/ ___/ __ \   / /_/ / /_/ __ \     / / ___/ / | /| / /
 / / /  __(__  ) /_/ /_/ /  __/ / / / /__/ / / /  / __/ / __/ /_/ /    / / /  / /| |/ |/ / 
/_/  \___/____/\__/_.___/\___/_/ /_/\___/_/ /_/  /_/ /_/_/  \____/____/_/_/  /_/ |__/|__/  
                                                                /_____/                    
__________ ___________  _______________________________
\______   \\_   _____/ /   _____/\_   _____/\__    ___/
 |       _/ |    __)_  \_____  \  |    __)_   |    |   
 |    |   \ |        \ /        \ |        \  |    |  0->1 time =         10
 |____|_  //_______  //_______  //_______  /  |____|   
 ASYNC  \/         \/         \/         \/            
__________ ___________  _______________________________
\______   \\_   _____/ /   _____/\_   _____/\__    ___/
 |       _/ |    __)_  \_____  \  |    __)_   |    |   
 |    |   \ |        \ /        \ |        \  |    |  1->0 time =        110
 |____|_  //_______  //_______  //_______  /  |____|   
 ASYNC  \/         \/         \/         \/            

Begin Test:
On Cycle           1 (RV: 8e37901c) -- valid_i: 1, yumi_n: 0
On Cycle         284 (RV: 67d735cf) -- valid_i: 0, yumi_n: 0
On Cycle         285 (RV: 4839e590) -- valid_i: 1, yumi_n: 1
On Cycle         286 (RV: a8e4d851) -- valid_i: 0, yumi_n: 0
On Cycle         287 (RV: b4f9a469) -- valid_i: 0, yumi_n: 0
On Cycle         288 (RV: 3b83cd77) -- valid_i: 0, yumi_n: 0
On Cycle         289 (RV: 2523654a) -- valid_i: 1, yumi_n: 0
On Cycle         290 (RV: ec3758d8) -- valid_i: 1, yumi_n: 1
On Cycle         291 (RV: 4ddd4d9b) -- valid_i: 0, yumi_n: 0
On Cycle         292 (RV: e20e9ac4) -- valid_i: 1, yumi_n: 0
On Cycle         293 (RV: 5c78b1b8) -- valid_i: 1, yumi_n: 1
On Cycle         294 (RV: dbe6f2b7) -- valid_i: 0, yumi_n: 0
On Cycle         295 (RV: c378ee86) -- valid_i: 1, yumi_n: 0
On Cycle         296 (RV: 984d5a30) -- valid_i: 1, yumi_n: 1
On Cycle         297 (RV: 3bed5377) -- valid_i: 0, yumi_n: 0
On Cycle         298 (RV: 5ad6c7b5) -- valid_i: 0, yumi_n: 0
On Cycle         299 (RV: 6a15f5d4) -- valid_i: 1, yumi_n: 0
On Cycle         300 (RV: 03878707) -- valid_i: 0, yumi_n: 0
On Cycle         301 (RV: 3b0b9776) -- valid_i: 0, yumi_n: 0
On Cycle         302 (RV: 74a1ade9) -- valid_i: 0, yumi_n: 0
On Cycle         303 (RV: 45e28b8b) -- valid_i: 0, yumi_n: 0
On Cycle         304 (RV: 00f25f01) -- valid_i: 0, yumi_n: 0
On Cycle         305 (RV: 6d808bdb) -- valid_i: 0, yumi_n: 0
On Cycle         306 (RV: c0764280) -- valid_i: 1, yumi_n: 1
On Cycle         307 (RV: 611d9fc2) -- valid_i: 0, yumi_n: 0
On Cycle         308 (RV: e2ecdac5) -- valid_i: 0, yumi_n: 0
On Cycle         309 (RV: 9827fa30) -- valid_i: 1, yumi_n: 0
On Cycle         310 (RV: d7b2e4af) -- valid_i: 0, yumi_n: 0
On Cycle         311 (RV: b302da66) -- valid_i: 0, yumi_n: 0
On Cycle         312 (RV: 57fbb9af) -- valid_i: 0, yumi_n: 0
On Cycle         313 (RV: f4d86ee9) -- valid_i: 0, yumi_n: 0
On Cycle         314 (RV: 7c41aff8) -- valid_i: 1, yumi_n: 1
On Cycle         315 (RV: 8376ac06) -- valid_i: 0, yumi_n: 0
Simulation time is              3290000
         77 data transmitted
[0;32m    ____  ___   __________[0m
[0;32m   / __ \/   | / ___/ ___/[0m
[0;32m  / /_/ / /| | \__ \__  [0m
[0;32m / ____/ ___ |___/ /__/ / [0m
[0;32m/_/   /_/  |_/____/____/  [0m

Simulation Succeeded!
Current System Time is: 07:32:21 PM--02/16/2023
